,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
50,okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,49.23,2953744906,51,11615980181,29874078.0,49.99,48.1,1.009,2.09177,63237199.0,2.18775,60000000.0,235957685.3,300000000.0,73.8,-33.30818,2024-03-14T00:30:12.502Z,0.580608,8377.45688,2019-01-14T00:00:00.000Z,,2025-07-28T12:55:52.586Z
51,bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,3.641e-05,2802826159,52,3196564589,1102750594.0,3.629e-05,3.282e-05,2.28e-06,6.66734,160655827.0,6.08045,77419592329436.58,88295425146879.3,88295425146879.3,5.825e-05,-37.5979,2024-11-20T04:01:06.465Z,8.6142e-08,42096.76086,2022-12-29T22:48:46.755Z,,2025-07-28T12:55:56.983Z
52,mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.818849,2754640134,53,5090025623,192582359.0,0.835599,0.817488,-0.006205647530953429,-0.75215,-23422272.775907516,-0.84312,3365794382.836841,6219316794.99,6219316794.99,1.54,-46.53872,2024-04-08T09:45:25.482Z,0.307978,167.10251,2023-10-18T02:50:46.942Z,,2025-07-28T12:55:59.705Z
53,kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.103368,2727573793,54,2742207353,83251975.0,0.106983,0.10338,-0.002886990439537052,-2.71703,-73816242.7201829,-2.63499,26363807936.34678,26505250996.46513,28704026601.0,0.207411,-50.03026,2024-08-01T00:40:47.164Z,0.00017105,60492.22671,2022-05-26T14:42:59.316Z,,2025-07-28T12:55:59.441Z
54,pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.04233777,2661147129,55,3332063639,1211239109.0,0.04536637,0.04183495,5.979e-05,0.14143,4837384.0,0.18211,62860396090.0,78708477960.31435,88888888888.0,0.068447,-38.15706,2024-12-17T13:05:22.873Z,0.00371517,1039.36825,2025-04-09T01:31:57.832Z,,2025-07-28T12:55:53.468Z
55,algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.278876,2421321662,56,2421372747,112249028.0,0.287488,0.277822,-0.00048792545474563,-0.17466,-5552449.388991833,-0.22879,8686533072.085352,8686716341.401245,10000000000.0,3.56,-92.14143,2019-06-20T14:51:19.480Z,0.087513,219.78596,2023-09-11T19:42:08.247Z,"{'times': -0.8838015146183926, 'currency': 'usd', 'percentage': -88.38015146183926}",2025-07-28T12:55:56.216Z
56,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2413242321,57,2413242321,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2413242320.503854,2413242320.503854,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-07-28T12:55:13.411Z
57,arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.467939,2411626344,58,4682551720,406293291.0,0.477379,0.449771,0.01719988,3.81593,93785167.0,4.04623,5150239630.0,10000000000.0,10000000000.0,2.39,-80.32336,2024-01-12T12:29:59.231Z,0.245747,91.38685,2025-04-07T07:01:34.124Z,,2025-07-28T12:55:56.670Z
58,binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3885.32,2348286165,59,2348286165,100766452.0,3938.18,3801.78,64.39,1.6851,35492594.0,1.53462,604999.999959841,604999.999959841,,4098.26,-5.18893,2024-12-06T20:27:27.286Z,1394.32,178.67411,2025-04-09T01:32:41.942Z,,2025-07-28T12:55:56.811Z
59,render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.37,2261831497,60,2326265335,81278200.0,4.43,4.25,0.072438,1.68735,41109492.0,1.85118,518128769.0562826,532888942.3362826,644245094.0,13.53,-67.6796,2024-03-17T16:30:24.636Z,0.03665669,11833.61077,2020-06-16T13:22:25.900Z,,2025-07-28T12:55:56.738Z
60,cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.9,2258039158,61,2258039158,99346456.0,4.93,4.77,0.097728,2.03293,43153638.0,1.94835,460890742.843485,460890742.843485,,44.45,-89.02998,2022-01-17T00:34:41.497Z,1.16,320.3199,2020-03-13T02:27:44.591Z,"{'times': 48.0495233780397, 'currency': 'usd', 'percentage': 4804.95233780397}",2025-07-28T12:55:57.838Z
61,vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02612217,2247941782,62,2247941782,38535714.0,0.02665405,0.02563779,0.00025968,1.00409,29511221.0,1.33027,85985041177.0,85985041177.0,86712634466.0,0.280991,-90.67307,2021-04-19T01:08:21.675Z,0.00191713,1267.03299,2020-03-13T02:29:59.652Z,"{'times': 1.3558206806121933, 'currency': 'eth', 'percentage': 135.58206806121933}",2025-07-28T12:55:55.158Z
62,usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,1.001,2208967513,63,2208967513,435412853.0,1.003,0.99936,-0.000371026831335941,-0.03704,-857876.7034263611,-0.03882,2206622939.071,2206622939.071,,1.025,-2.30617,2025-05-12T12:36:39.412Z,0.989703,1.16082,2025-04-16T00:36:15.580Z,,2025-07-28T12:55:55.576Z
63,worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.21,2188737044,64,12170733088,274922478.0,1.23,1.17,0.03836483,3.26254,78214411.0,3.70593,1798360894.029286,10000000000.0,10000000000.0,11.74,-89.61216,2024-03-10T00:10:42.330Z,0.583741,108.92767,2025-04-07T07:06:11.379Z,,2025-07-28T12:55:55.445Z
64,gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,18.28,2183967166,65,5485292521,11381842.0,18.47,17.73,0.444579,2.49264,55098861.0,2.58818,119444887.81900902,300000000.0,,25.94,-29.77651,2025-01-25T03:07:37.823Z,0.25754,6972.90226,2020-03-13T02:18:02.481Z,,2025-07-28T12:55:58.429Z
65,polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.239888,2165360964,66,2512797571,89394512.0,0.244456,0.23682,0.0008408,0.35173,13376086.0,0.62157,9025873552.162342,10474093471.36837,,1.29,-81.31648,2024-03-13T18:55:06.692Z,0.153392,56.82812,2025-04-07T07:06:08.017Z,,2025-07-28T12:55:53.521Z
66,spx6900,spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,2.25,2096956868,67,2096956868,134136913.0,2.27,2.03,0.227409,11.21623,214929511.0,11.42011,930993086.0063922,930993086.0063922,1000000000.0,2.27,-0.77758,2025-07-28T11:24:33.852Z,0.00131808,170830.4674,2024-02-04T19:12:19.110Z,,2025-07-28T12:55:54.589Z
67,official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,10.29,2059710667,68,10298554722,371875720.0,10.49,10.14,0.125355,1.2328,28210229.0,1.38864,199999973.092266,1000000000.0,1000000000.0,73.43,-85.97309,2025-01-19T11:50:34.806Z,4.29,140.05666,2025-01-18T03:40:29.231Z,,2025-07-28T12:55:52.935Z
68,sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.09666,2055106544,69,2268060335,5250307.0,0.099609,0.095545,0.00091974,0.96067,25430419.0,1.25293,21259697517.66331,23462665147.36596,,0.100535,-3.76221,2024-12-04T10:13:57.264Z,0.03582727,170.05375,2025-02-03T05:01:48.626Z,,2025-07-28T12:55:53.717Z
69,fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.6,1983507213,70,4003840747,62757118.0,4.6,4.58,-0.004919129295402946,-0.10687,-899787.5811603069,-0.04534,431366783.4,870742437.0,1000000000.0,4.61,-0.4695,2025-07-27T09:55:16.106Z,0.398142,1051.78938,2023-01-21T10:15:39.503Z,,2025-07-28T12:55:58.122Z
70,sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.34206,1978173404,71,3421376567,161477419.0,0.353521,0.339379,-0.002439258027303992,-0.70806,-10405615.493581533,-0.52327,5781805555.0,10000000000.0,,1.14,-69.85219,2024-03-16T02:30:23.904Z,0.095364,260.30464,2023-10-19T08:05:30.655Z,,2025-07-28T12:55:53.870Z
71,fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.758902,1977476659,72,2060626697,162258969.0,0.782243,0.731249,0.02136975,2.89747,56279453.0,2.92939,2604959126.672,2714493896.672,2714493896.672,3.45,-77.91047,2024-03-28T17:21:18.050Z,0.00816959,9239.572,2020-03-13T02:24:18.347Z,"{'times': 7.753196518641316, 'currency': 'usd', 'percentage': 775.3196518641316}",2025-07-28T12:55:58.647Z
72,binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,205.29,1918801129,73,1918801129,7399852.0,206.74,197.38,7.31,3.69458,64336292.0,3.46926,9366877.043702587,9366877.043702587,,297.96,-31.15952,2025-01-19T11:30:53.744Z,100.21,104.68351,2025-04-07T06:56:20.488Z,,2025-07-28T12:55:56.525Z
73,filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.76,1887885152,74,5413397657,183087733.0,2.8,2.68,0.064669,2.39654,47920451.0,2.60442,683251554.0,1959182929.0,1959182929.0,236.84,-98.83063,2021-04-01T13:29:41.564Z,1.98,39.53542,2025-06-22T20:30:12.846Z,,2025-07-28T12:55:58.342Z
74,quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,128.24,1866663136,75,1875431217,29951685.0,132.77,126.49,1.061,0.83435,17273759.0,0.93403,14544176.164091088,14612493.0,14612493.0,427.42,-69.89954,2021-09-11T09:15:00.668Z,0.215773,59525.58817,2018-08-23T00:00:00.000Z,"{'times': 13.208637176227073, 'currency': 'eth', 'percentage': 1320.8637176227073}",2025-07-28T12:55:53.460Z
75,jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.606813,1829469549,76,4261458244,139563713.0,0.621295,0.569019,0.0240082,4.11943,87158575.0,5.00247,3004799999.98,6999203534.573399,10000000000.0,2.0,-69.50754,2024-01-31T15:02:47.304Z,0.306358,99.06548,2025-04-07T06:56:22.719Z,,2025-07-28T12:55:59.549Z
76,rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,4415.27,1827292044,77,1827289198,9326622.0,4497.19,4334.42,57.87,1.32815,25117161.0,1.39371,413423.3169000778,413422.6730660945,,4814.31,-8.11555,2021-12-01T08:03:50.749Z,887.26,398.56694,2022-06-18T20:55:45.957Z,,2025-07-28T12:55:53.668Z
77,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,4065.92,1731866158,78,1731866158,2088961.0,4130.82,3991.88,55.83,1.39232,28876934.0,1.69566,425043.3020467116,425043.3020467116,,4216.2,-3.32222,2024-12-06T20:31:16.142Z,1459.69,179.24617,2025-04-09T01:45:22.546Z,,2025-07-28T12:55:59.205Z
78,flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.02478485,1728335595,79,2570783633,16119655.0,0.02525825,0.02428809,0.00049048,2.01888,36395385.0,2.1511,69740281730.4287,103734005898.708,,0.150073,-83.49192,2023-01-10T03:14:05.921Z,0.00827405,199.41999,2023-10-19T03:35:41.663Z,,2025-07-28T12:55:58.483Z
79,lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,119504.0,1707944764,80,1707944764,5178741.0,119805.0,117372.0,2132.16,1.81658,20756284.0,1.23023,14287.73461013004,14287.73461013004,,123777.0,-3.93691,2025-07-14T08:10:46.456Z,52119.0,128.13866,2024-09-06T21:01:52.094Z,,2025-07-28T12:55:59.672Z
80,jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,5.16,1662221642,81,1662691146,41948979.0,5.18,5.08,0.066159,1.29857,47306132.0,2.92933,321971424.400694,322062367.040022,,5.26,-1.9376,2025-07-22T23:55:01.224Z,0.146839,3415.86801,2023-11-24T05:55:06.706Z,,2025-07-28T12:55:59.398Z
81,story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,5.61,1655974486,82,5672475331,65139876.0,6.0,5.38,0.149387,2.73386,45350069.0,2.81568,294888212.35,1010127948.22,,7.31,-23.2241,2025-02-26T16:11:25.410Z,1.0,461.338,2025-02-14T03:11:08.309Z,,2025-07-28T12:55:58.843Z
82,susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.061,1644681653,83,1644681653,21948246.0,1.061,1.061,9.109e-05,0.00859,-6288820.530263424,-0.38092,1550572425.361926,1550572425.361926,,1.088,-2.50242,2025-02-03T02:31:35.208Z,0.961716,10.2914,2025-01-04T01:21:08.460Z,,2025-07-28T12:55:54.258Z
83,injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,15.83,1546589612,84,1582557661,176051085.0,16.3,15.11,0.523333,3.41837,54243673.0,3.63479,97727220.33,100000000.0,,52.62,-69.75962,2024-03-14T15:06:22.124Z,0.657401,2320.54588,2020-11-03T16:19:30.576Z,,2025-07-28T12:55:59.381Z
84,xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.091697,1487446775,85,3484991935,46410723.0,0.092806,0.088314,0.00197722,2.20379,32100891.0,2.20572,16222663232.2,38008654491.9,,0.192754,-52.25528,2021-08-21T04:39:48.324Z,0.00039532,23179.96798,2019-07-22T00:00:00.000Z,"{'times': 2.1419609273238365, 'currency': 'eth', 'percentage': 214.19609273238365}",2025-07-28T12:55:55.356Z
85,celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,2.04,1482868680,86,2324962865,137919753.0,2.11,1.98,0.053487,2.68825,41891200.0,2.90714,725790228.67046,1137953315.068096,,20.85,-90.17631,2024-02-10T14:30:02.495Z,1.32,54.71647,2025-06-22T20:21:50.444Z,,2025-07-28T12:55:57.376Z
86,kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,11.55,1471515498,87,1644741032,4669021.0,11.68,11.47,0.01974524,0.17127,3904062.0,0.26601,127421933.7355671,142421933.7355671,,28.83,-59.87159,2021-12-01T15:09:35.541Z,0.342863,3274.22603,2019-02-07T00:00:00.000Z,,2025-07-28T12:55:59.315Z
87,stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,4075.78,1462717999,88,1462717999,1232836.0,4124.74,4004.48,50.75,1.2609,19097520.0,1.32289,358880.6839472,358880.6839472,,4228.59,-3.34635,2024-12-06T20:32:35.136Z,1459.73,179.98932,2025-04-09T01:32:44.161Z,,2025-07-28T12:55:53.883Z
88,usdtb,usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/USDtbSmall.png?1734344946,0.999709,1446086528,89,1446086528,7609820.0,1.0,0.999322,-0.000302199362379296,-0.03022,-4873874.208040476,-0.33591,1446527232.630724,1446527232.630724,,1.018,-1.77722,2024-12-20T13:43:38.196Z,0.900502,10.99387,2025-07-17T08:05:52.672Z,,2025-07-28T12:55:54.865Z
89,mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,4147.92,1433924293,90,1433924293,2572491.0,4208.32,4068.38,59.71,1.46045,18068203.0,1.27613,345347.2145386791,345347.2145386791,,4729.53,-12.08345,2024-03-27T05:26:27.333Z,1485.62,179.88557,2025-04-09T01:32:38.082Z,,2025-07-28T12:55:59.793Z
90,optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,0.812851,1424290544,91,3491226643,1147764541.0,0.860711,0.723287,0.084257,11.56428,157536922.0,12.43627,1752186819.0,4294967296.0,4294967296.0,4.84,-83.16723,2024-03-06T08:35:50.817Z,0.402159,102.76342,2022-06-18T20:54:52.178Z,,2025-07-28T12:55:53.081Z
91,liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,4192.12,1414908088,92,1414918898,746181.0,4253.22,4102.57,58.34,1.41127,20608047.0,1.47802,337066.3568485066,337068.9319568649,,4332.67,-3.09612,2024-12-06T20:27:20.677Z,1384.61,203.22841,2023-03-10T11:26:12.210Z,,2025-07-28T12:55:59.406Z
92,curve-dao-token,crv,Curve DAO,https://coin-images.coingecko.com/coins/images/12124/large/Curve.png?1696511967,1.012,1395305089,93,2315351972,382479739.0,1.071,1.005,-0.052192423730204496,-4.90491,-70443861.18108892,-4.806,1378924046.0,2288169472.958233,3030303031.0,15.37,-93.41268,2020-08-14T00:00:00.000Z,0.180354,461.45545,2024-08-05T11:41:26.119Z,,2025-07-28T12:55:57.952Z
93,fartcoin,fartcoin,Fartcoin,https://coin-images.coingecko.com/coins/images/50891/large/fart.jpg?1729503972,1.38,1379195120,94,1379195120,276852832.0,1.42,1.31,0.04746343,3.56509,50575718.0,3.80664,999983299.36393,999983299.36393,1000000000.0,2.48,-44.08139,2025-01-19T20:41:07.782Z,0.02002855,6820.87587,2024-10-30T07:56:04.381Z,,2025-07-28T12:55:58.713Z
94,first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.997939,1371814173,95,1371814173,5951222114.0,1.005,0.992545,-0.00054252719782899,-0.05434,9437150.0,0.6927,1373877325.196422,1373877325.196422,,1.15,-13.27162,2025-02-03T02:30:49.959Z,0.940377,6.18421,2024-12-05T22:30:51.394Z,,2025-07-28T12:55:58.744Z
95,usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.998523,1363264328,96,185913986532,304474546.0,1.002,0.997997,-0.001363882356746782,-0.1364,-7425606.320887089,-0.54174,1362655291.828991,185908380867.6846,,1.052,-4.96968,2025-01-23T22:34:53.341Z,0.975737,2.46151,2025-02-28T01:35:58.101Z,,2025-07-28T12:55:56.857Z
96,blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.84448,1340243787,97,1340243787,43190060.0,0.86943,0.817024,0.02745595,3.36048,53435781.0,4.15258,1587519432.29655,1587519432.29655,,3.86,-78.0887,2024-04-01T12:34:58.342Z,0.04559639,1756.99629,2020-03-13T02:29:26.415Z,"{'times': 6.0373362557148615, 'currency': 'usd', 'percentage': 603.7336255714862}",2025-07-28T12:55:56.997Z
97,nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.32,1317884635,98,1317884635,15462228.0,1.33,1.31,0.00936604,0.71613,10195268.0,0.77964,1000000000.0,1000000000.0,1000000000.0,4.07,-67.57059,2021-05-12T14:37:47.535Z,0.04515276,2821.67893,2018-09-13T00:00:00.000Z,"{'times': 12.17241436981425, 'currency': 'usd', 'percentage': 1217.241436981425}",2025-07-28T12:55:52.530Z
98,renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,4074.9,1293416187,99,1293416187,2036236.0,4137.24,3998.46,56.96,1.41754,14937755.0,1.1684,316940.9095933136,316940.9095933136,,4207.05,-2.95388,2024-12-06T20:30:39.115Z,1454.43,180.71309,2025-04-09T01:30:57.856Z,,2025-07-28T12:55:53.598Z
99,floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00013122,1267780514,100,1312190381,203462468.0,0.0001339,0.00012923,1.07e-06,0.82575,13550068.0,1.08035,9661559269361.0,10000000000000.0,10000000000000.0,0.00034495,-61.71112,2024-06-05T07:25:59.137Z,8.428e-08,156612.80961,2021-07-06T01:11:20.438Z,,2025-07-28T12:55:58.546Z
